clock,value_min,value_avg,value_max
1590692400,924880,4250339,12265936
1590696000,569272,2906181,6407896
1590699600,831672,3560687,11537464
1590703200,538232,2948611,9892952
1590706800,897008,5547484,17605232
1590710400,969504,4636744,10370624
1590714000,607152,3026629,14604224
1590717600,451976,2431323,8532264
1590721200,858824,4695308,16435040
1590724800,312352,1660062,8588896
1590728400,305888,1442992,6640640
1590732000,454952,1957380,30352488
1590735600,282616,1247779,12824696
1590739200,254040,1283098,6909392
1590742800,303280,4126604,31590104
1590746400,558576,4472443,29439088
1590750000,1351184,16251899,104957296
1590753600,1844192,28915106,115146080
1590757200,1539296,15137175,97211736
1590760800,2047912,11077887,40576024
1590764400,2267296,8426939,40437712
1590768000,1295176,5252599,17754312
1590771600,1695264,11848306,42973608
1590775200,1488688,17089925,77965928
1590778800,1395832,24018795,96573016
1590782400,1568344,7120284,29463352
1590786000,879968,3909624,9621424
1590789600,2205664,4092281,9538488
1590793200,1921760,5217381,23146992
1590796800,1973816,4395548,20745056
1590800400,1514904,3554130,12956560
1590804000,694648,2948597,22507936
1590807600,527520,6939198,19147112
1590811200,254472,3347201,18837192
1590814800,189704,1903958,7225976
1590818400,198112,2778677,19301840
1590822000,192104,1453166,5918192
1590825600,225520,1415490,6681224
1590829200,221160,1416826,6119648
1590832800,255544,1200188,4480448
1590836400,635536,3602869,19469944
1590840000,740960,5248917,24023176
1590843600,1371616,4326022,8762512
1590847200,920568,2967770,7393520
1590850800,813064,3520310,9549600
1590854400,1248264,3946356,8466552
1590858000,1398000,4362918,14063568
1590861600,1779128,4152440,9116016
1590865200,815224,3192048,8390592
1590868800,1049968,3753704,11606944
1590872400,1536688,5881747,19655312
1590876000,778392,3912764,9306824
1590879600,1588952,10063557,25339752
1590883200,633424,3047352,10131896
1590886800,1059528,2946027,9872320
1590890400,1177824,5195618,15730640
1590894000,1528704,5827070,14917648
1590897600,792216,4782743,18819024
1590901200,1003704,2500759,6120264
1590904800,163040,1053173,12359752
1590908400,170184,567223,2141248
1590912000,213808,1948060,10349704
1590915600,214464,1704828,7317560
1590919200,199392,1166371,5308288
1590922800,380496,1775284,9287224
1590926400,1121792,2352212,8244600
1590930000,696768,2199759,7229488
1590933600,1264224,4556919,9726016
1590937200,908696,2744433,12498640
1590940800,688960,7083352,28817616
1590944400,1880304,8368242,25233800
1590948000,1232208,3505033,7461352
1590951600,1463992,3886392,9617824
1590955200,1146616,2749740,6449760
1590958800,1358488,4597015,8200344
1590962400,823336,3154213,6813528
1590966000,1152016,4563466,14023064
1590969600,2270760,5402247,16171032
1590973200,2409680,4408249,8077768
1590976800,1472424,3622762,9564880
1590980400,2261656,6422193,17713936
1590984000,600136,3271830,6994712
1590987600,177968,731802,4866624
1590991200,165584,719089,2169600
1590994800,171824,661667,1983400
1590998400,168584,686365,5426040
1591002000,244896,2006628,10062576
1591005600,1076600,7528061,42197816
1591009200,1412232,16556272,65867208
1591012800,5390688,16831286,36723720
1591016400,8171152,19632063,50397536
1591020000,7398504,17354142,30014864
1591023600,4824952,14522690,54943976
1591027200,5098328,20096794,75537224
1591030800,5758272,15342173,40833384
1591034400,4081496,11822437,27439928
1591038000,3080392,9867276,35149552
1591041600,1237232,7744573,31019288
1591045200,1704568,5784030,15448600
1591048800,2093992,7155561,14959240
1591052400,1808600,6108733,24820000
1591056000,1205912,3272901,8390960
1591059600,1024736,3493978,6813328
1591063200,876336,2086063,8161360
1591066800,420664,2468080,8164464
1591070400,509776,3035668,9234592
1591074000,826264,4243757,18326160
1591077600,199776,1727335,7730168
1591081200,176440,600028,4732536
1591084800,206728,2344973,11928120
1591088400,187616,1701401,12403288
1591092000,757504,5547228,41078656
1591095600,4107584,9379730,32203008
1591099200,4434704,14884714,33564696
1591102800,4182760,11982698,43584472
1591106400,4913856,19881352,63907096
1591110000,6614856,13383061,24787024
1591113600,3360432,8255533,20264496
1591117200,5458728,14309555,62507920
1591120800,5099608,11323466,38998272
1591124400,2950688,11256182,61828320
1591128000,1161808,4572883,13972336
1591131600,1161040,4565527,14657992
1591135200,2640064,6107928,14088968
1591138800,1372528,5453343,32164024
1591142400,2505176,5586891,14436664
1591146000,1780256,4606492,11544608
1591149600,1386896,3666128,7006544
1591153200,413760,4266497,15678800
1591156800,627800,2943929,10457544
1591160400,192112,1926241,7534104
1591164000,466256,3051986,15928320
1591167600,220008,1492129,6975600
1591171200,188200,2044881,14022480
1591174800,196176,2578311,25574376
1591178400,658064,4489719,36048920
1591182000,3026776,8998203,37464656
