clock,value_min,value_avg,value_max
1562590800,186398488,228347036,245576744
1562587200,98617312,182043821,241569280
1562583600,76479280,146188095,232994744
1562580000,26730008,67973989,131980632
1562576400,974080,10192775,35132712
1562572800,140368,1074376,12147320
1562569200,164912,2172196,7297992
1562565600,143872,1822620,4557512
1562562000,197600,1207034,3227848
1562558400,196688,3964460,16289480
1562554800,710488,4112802,14269616
1562551200,815208,6276487,30792616
1562547600,1826128,3333609,12054696
1562544000,1049056,3808044,27359528
1562540400,1620176,5060367,16691040
1562536800,331440,3194763,9391968
1562533200,289160,1742849,4087800
1562529600,778408,2184843,10672712
1562526000,722072,3750149,33369520
1562522400,1590216,3739751,7446272
1562518800,1568400,4386271,9174592
1562515200,609624,2759763,7054472
1562511600,362256,6731588,21969272
1562508000,1241296,5260062,17110944
1562504400,708128,4977473,21689288
1562500800,1490736,4713237,13895240
1562497200,1683800,10771542,44563744
1562493600,1175928,3971508,10328088
1562490000,148528,1225316,14722064
1562486400,149976,1577721,8240624
1562482800,143696,1908404,7275600
1562479200,475000,2502104,35621304
1562475600,173512,2007191,7696096
1562472000,188424,864218,4003152
1562468400,227280,1793982,5846352
1562464800,273888,1998794,10207952
1562461200,270520,1402448,7732792
1562457600,483560,4700181,11882984
1562454000,2275832,5543326,10843728
1562450400,543712,3599543,10339008
1562446800,433384,2383163,6843384
1562443200,449816,3312738,12594264
1562439600,1867408,7563250,17094704
1562436000,4044568,12051273,33204056
1562432400,7867176,24670802,53716480
1562428800,7097968,28463171,83491912
1562425200,6234920,16125394,30075472
1562421600,9091104,20817852,42915208
1562418000,10642256,21384783,43602904
1562414400,6237984,11953760,27640696
1562410800,3386664,11248172,26935824
1562407200,1131064,5868712,18689120
1562403600,472040,3422157,16930984
1562400000,227400,1134787,12217504
1562396400,349760,2318643,11424208
1562392800,790736,2409820,15212064
1562389200,1433144,1996291,5401504
1562385600,375160,2619735,12709184
1562382000,606680,3156636,12735856
1562378400,671488,8230570,36153088
1562374800,739936,3825110,11978168
1562371200,7255608,23028336,58864224
1562367600,35485512,89091485,137500776
1562364000,68826496,97311171,125280080
1562360400,86010216,123987494,173076752
1562356800,118712832,161431870,239607440
1562353200,131846352,193236957,241454912
1562349600,175654416,226704019,245407504
1562346000,173640896,228570725,245836656
1562342400,179235272,213809042,245063648
1562338800,140276296,202425570,245724768
1562335200,140057664,184638385,244778712
1562331600,161213904,217107814,245752936
1562328000,150487552,196425454,233990080
1562324400,102102528,156281717,216711144
1562320800,27298216,75547287,145503568
1562317200,355992,13224332,49754952
1562313600,359968,3820249,15434496
1562310000,231952,1237129,4864632
1562306400,293224,4483139,33049064
1562302800,1101000,5787320,19850544
1562299200,401816,4520847,18314800
1562295600,1693432,6212383,20611920
1562292000,1221064,4658696,18032832
1562288400,2999960,7852753,29761392
1562284800,9612440,37127399,76504984
1562281200,48394040,88033393,142722936
1562277600,72872056,101548713,155637904
1562274000,62709912,104381758,241952552
1562270400,99875648,142423844,237529208
1562266800,127200096,210214119,245882728
1562263200,191056376,233601440,245944072
1562259600,204656832,239782183,247817352
1562256000,233609960,243935948,247879064
1562252400,180436272,235275013,246176064
1562248800,157871032,194382547,245233392
1562245200,174835432,199645824,244381520
1562241600,170408216,219337072,244973392
1562238000,101154744,173908657,237162976
1562234400,39459168,88606916,146669120
1562230800,3153360,18006802,48350616
1562227200,2800728,3989988,23509600
1562223600,2736176,5079667,15888336
1562220000,2940064,5004379,22210216
1562216400,2803224,4619797,17663888
1562212800,2971848,7160781,19285800
1562209200,3366336,6282221,19165432
1562205600,2576288,4768478,15738208
1562202000,2348528,5233571,11919320
1562198400,6084288,53024496,88119536
1562194800,56868784,80693170,155896880
1562191200,69151424,105738283,176594608
1562187600,72813152,105517734,146584432
1562184000,90833328,131066443,191248096
1562180400,150897648,213125148,245665472
1562176800,174067904,218503346,247645768
1562173200,209857488,241502543,246011728
1562169600,190904032,237015665,247938960
1562166000,188932272,225424376,248253984
1562162400,186781376,231147166,247843920
1562158800,183733808,237349424,247926832
1562155200,141650216,222712187,245445624
1562151600,97711992,156300706,244511216
1562148000,32942888,76735404,114678240
1562144400,2150704,20323612,71581696
1562140800,1921600,3433563,11060184
1562137200,2121376,3506739,7566224
1562133600,2826080,3875980,14746264
1562130000,2264224,5700566,31230704
1562126400,2255128,4244646,8826608
1562122800,938000,4021633,15771352
1562119200,1329568,6492532,12973720
1562115600,5517544,10515870,23513080
1562112000,9867344,30986771,61170008
1562108400,47442104,103690797,170974216
1562104800,77190944,112736728,185659040
1562101200,83025616,146193034,230037992
1562097600,111712488,162380284,216945936
1562094000,171164536,235805958,247874168
1562090400,244753024,245059430,247942824
1562086800,244070936,245006900,248083056
1562083200,231948392,244156382,248157576
1562079600,237817648,244649408,245564600
1562076000,208445872,239875449,245897936
1562072400,185668608,236565330,245639104
1562068800,169322992,225339003,244990240
1562065200,97792992,173855402,233636984
1562061600,37385576,75651954,125273184
1562058000,2444120,13246463,50565584
1562054400,2398408,4670965,13404736
1562050800,1123480,3496111,16894080
1562047200,1597336,5572654,15937928
1562043600,2092800,4387871,15786624
1562040000,2460536,5558827,18638016
1562036400,2498448,5028646,37688984
1562032800,2665128,5271597,15676528
1562029200,3288440,8369441,30332040
1562025600,13211416,47817953,109702064
1562022000,72379328,111107530,185309736
1562018400,90624424,123040946,198263040
1562014800,95105408,124603164,174559384
1562011200,120961000,167116391,231234464
1562007600,143552336,208030897,245577072
1562004000,229067056,242827069,245314264
1562000400,195122712,233407229,247989832
1561996800,229787032,244146178,246334640
1561993200,178703728,236042680,245414328
1561989600,180351504,223697454,245089880
1561986000,207120688,235128301,245976840
1561982400,171871216,225126164,245341080
1561978800,69268320,144192568,207211792
1561975200,27620048,66350685,106360432
1561971600,385984,10612299,46525696
1561968000,256344,1307635,7281472
1561964400,281944,1285918,4972416
1561960800,747168,3121902,38653840
1561957200,300784,1803035,5667480
1561953600,774504,3051905,8512960
1561950000,607768,2649116,7642360
1561946400,507496,3206992,6348072
1561942800,733392,4671397,10700008
1561939200,3148136,6610935,13268296
1561935600,3322600,6490547,16801448
1561932000,3405168,6687887,11744944
1561928400,1722840,4883384,10806040
1561924800,1235280,11619803,37178232
1561921200,694928,4131798,9526832
1561917600,552576,2421584,7467296
1561914000,901136,2672559,5675112
1561910400,727104,3531590,10567064
1561906800,801624,3401711,15252528
1561903200,1700680,6950268,24504320
1561899600,1792232,7866282,41290352
1561896000,1660960,5418908,22829448
1561892400,381224,3031966,9730488
1561888800,167672,1866046,6073776
1561885200,150832,1883550,9111360
1561881600,270744,1862788,7445792
1561878000,264568,811057,2859768
1561874400,238240,3487093,17835344
1561870800,193744,4201117,18784344
1561867200,170368,2189655,8178872
1561863600,547120,3060916,16869736
1561860000,338984,2780489,7083840
1561856400,916728,4043867,17147888
1561852800,1237248,4476454,11337616
1561849200,729656,2925469,8389824
1561845600,556032,3314560,11132944
1561842000,531016,1802428,6350168
1561838400,1358224,3909888,11046912
1561834800,4820464,25362442,46545976
1561831200,10946216,19170066,41530256
1561827600,12795528,23425874,46762376
1561824000,12538720,31716960,64258832
1561820400,14784512,28215206,58060120
1561816800,7727416,28427310,54036776
1561813200,21713272,31987517,89651944
1561809600,21123328,62731447,158722528
1561806000,11567472,26323949,66892600
1561802400,2052544,17742938,112293264
1561798800,485752,3694689,18236864
1561795200,316736,1294297,8020872
1561791600,318664,1265689,11855792
1561788000,331232,4356502,41291056
1561784400,1271720,6342930,26579056
1561780800,2045584,5911936,11716688
1561777200,2152184,8555590,23613368
1561773600,1817176,11844856,21899672
1561770000,1762064,8457319,16686208
1561766400,5982888,19700826,37861464
1561762800,28874624,57904064,95119296
1561759200,52025120,77107041,169706032
1561755600,75828624,122706234,224412336
1561752000,92443504,133218042,227455096
1561748400,162575952,213202666,247748672
1561744800,191691104,225511295,245597568
1561741200,202475728,228908487,246003888
1561737600,171196680,219823208,245084488
1561734000,147695880,212782728,246002240
1561730400,146104408,215292212,245976208
1561726800,190882168,233372020,245435608
1561723200,154794976,206164843,243205344
1561719600,85300200,132290196,210244976
1561716000,28355832,79376450,140415784
1561712400,3230224,15046460,53738448
1561708800,2636664,5216159,19720840
1561705200,2649632,3793148,17924976
1561701600,2938440,5243218,19481496
1561698000,2965592,7317404,26083672
1561694400,2455800,8737482,31157664
1561690800,3749144,8209329,26680808
1561687200,3250888,8336306,23481096
1561683600,5641176,9151610,16550240
1561680000,8330832,29401239,69645280
1561676400,36402864,77918198,143907928
1561672800,64569504,102823180,141945712
1561669200,77228904,110249199,157314120
1561665600,85449696,132074492,194826472
1561662000,169078384,224827406,248142656
1561658400,243919336,245287394,248086736
1561654800,240596664,245171041,248142920
1561651200,224225984,242583750,245927960
1561647600,219146320,240865622,245481640
1561644000,174860408,221372622,245179136
1561640400,178639464,228047558,245555656
1561636800,167811392,208169322,244716208
1561633200,84534288,165373307,244214024
1561629600,22584848,67375925,135618976
1561626000,2427576,15639031,45014184
1561622400,2016352,3039955,9825056
1561618800,2484224,4598343,14976112
1561615200,2388400,3752441,10693232
1561611600,2785128,3980971,14225968
1561608000,2390152,5008592,12472552
1561604400,2806352,6228018,21733368
1561600800,4256224,9888463,27061320
1561597200,3892360,9395750,20432520
1561593600,7332520,33905422,73471240
1561590000,45173440,69454424,108803720
1561586400,56167512,82956908,132909856
1561582800,68090144,111468672,180561048
1561579200,100806608,148740283,242891704
1561575600,133927856,216995595,245862784
1561572000,207877696,239845078,248268656
1561568400,196149032,237135265,246270432
1561564800,217327768,239578237,245731392
1561561200,190946368,232232999,245647984
1561557600,186566960,222492934,246156528
1561554000,201080336,233471001,247851784
1561550400,196726872,235566378,245693440
1561546800,107131960,186782679,245585152
1561543200,27121704,80015141,161921608
1561539600,1962200,16738062,56831080
1561536000,1989904,5853996,20719928
1561532400,1603352,2710056,11005296
1561528800,2076928,4232163,15857624
1561525200,2816320,5267684,14885480
1561521600,2975024,5366600,10897144
1561518000,4025336,6785137,24038296
1561514400,4147104,7558416,27893008
1561510800,5447680,17546200,39305752
1561507200,26124408,40386217,74539088
1561503600,49354032,85562817,158350672
1561500000,100070712,142485568,202965248
1561496400,111958432,146533001,201527200
1561492800,130306080,167353819,211318768
1561489200,168725464,220706126,245356896
1561485600,206005416,237467247,246028936
1561482000,196231376,236821971,247980544
1561478400,111342680,227854851,246133800
1561474800,169529168,220454673,245410032
1561471200,158214656,213778067,245506440
1561467600,177639024,225954137,245341568
1561464000,164023424,208955455,243476528
1561460400,38342416,160187223,245380968
1561456800,23586240,67636275,123784688
1561453200,1079352,11995869,44966256
1561449600,949064,1966235,9960264
1561446000,699896,2386495,13050136
1561442400,677616,2666666,10769248
1561438800,1078880,2392411,13347312
1561435200,627224,5998936,21721904
1561431600,987776,3453611,16845648
1561428000,1250304,40546334,100381296
1561424400,37485696,56700785,67821584
1561420800,41015368,65326283,90381536
1561417200,44692040,93379895,147673064
1561413600,52668936,107576049,201235112
1561410000,70970112,115218630,203072632
1561406400,76351232,130884199,190307648
1561402800,136150424,200310396,244311728
1561399200,179965816,219943270,243079640
1561395600,160652568,202434886,242777496
1561392000,157681256,205600938,245347056
1561388400,137963344,173460866,227245992
1561384800,128744440,188514678,244642288
1561381200,169051336,219187260,245195888
1561377600,147460720,196977544,245169472
1561374000,98179800,163566160,244207880
1561370400,20733368,55283583,168425016
1561366800,287256,9475216,29802960
1561363200,194576,1681781,8418520
1561359600,126856,1526226,10519208
1561356000,131496,1566121,5079144
1561352400,125656,1460822,13253304
1561348800,133912,2987054,32500288
1561345200,391528,3292780,25771128
1561341600,403448,4997259,26663768
1561338000,1255464,5302260,23240680
1561334400,1010576,5322897,22735512
1561330800,967648,4958520,23732064
1561327200,540568,3814097,12631384
1561323600,491984,1915440,5959512
1561320000,433256,2851440,8579152
1561316400,900952,3162152,14957008
1561312800,2192608,4796996,9862256
1561309200,1219896,4631527,11238640
1561305600,1813672,4122576,9821736
1561302000,497232,3456844,14842272
1561298400,330144,4228671,16938040
1561294800,2611056,6895871,16428176
1561291200,3005560,7211273,20760160
1561287600,498016,4204449,16457456
1561284000,148328,711800,2902432
1561280400,142240,982282,14471200
1561276800,121640,1060987,6444688
1561273200,197008,2701900,11607296
1561269600,261656,1824557,6818216
1561266000,482448,1343348,3843480
1561262400,876384,6241188,25828760
1561258800,691296,7008069,26836864
1561255200,3154768,9818450,33619392
1561251600,1854104,12445559,37671000
1561248000,4513720,20549092,39030408
1561244400,10880864,22579653,45304728
1561240800,3199912,14079923,29352448
1561237200,12408688,16400971,23319288
1561233600,904704,7596900,21317904
1561230000,2343736,11205659,42543880
1561226400,4610416,11889833,28725760
1561222800,5501208,12910089,31991880
1561219200,7705456,16167912,34632192
1561215600,4196136,11503904,25456120
1561212000,5268328,16255569,39700920
1561208400,8431728,21713763,102208272
1561204800,7964600,17916450,40617496
1561201200,6337568,23251587,68491696
1561197600,1213840,5807284,40941136
1561194000,262312,4606194,26231360
1561190400,133208,916535,10418920
1561186800,132544,714696,9867192
1561183200,380104,1769260,11735384
1561179600,161184,1636531,26047240
1561176000,184256,3654539,28245640
1561172400,257416,2605529,28392712
1561168800,529472,4670192,18949552
1561165200,597672,5404934,18668088
1561161600,363888,3186586,14879472
1561158000,1028840,4825050,14255968
1561154400,1713568,6449114,21807632
1561150800,2507432,13447794,105457632
1561147200,5340592,12032730,22746800
1561143600,4584592,18342195,115927040
1561140000,7180896,20339467,46198304
1561136400,13551848,29330888,47874776
1561132800,7870088,21497572,41047864
1561129200,16270048,27216150,42145144
1561125600,7873624,22570336,33535928
1561122000,20288904,32532757,65563264
1561118400,11167936,25078975,63172288
1561114800,13308736,20031461,33188792
1561111200,1270072,12674455,20630424
1561107600,10464472,15154164,57988136
1561104000,152576,9198862,19229320
1561100400,250488,8298536,20775632
1561096800,823616,10741730,15429824
1561093200,442448,11412316,27023736
1561089600,10720504,12735343,20075160
1561086000,715792,3671777,12945912
1561082400,403184,3225355,12991952
1561078800,447968,3191397,14381896
1561075200,3083464,7798623,23844712
1561071600,2889840,5994844,9713128
1561068000,3451696,13315962,20382648
1561064400,3730360,13028013,21323432
1561060800,2705504,10290734,17519032
1561057200,1974264,7499820,15814008
1561053600,3751928,10050592,29843480
1561050000,3682992,11495900,40526656
1561046400,3774472,15004083,45487744
1561042800,6019072,11238963,27810800
1561039200,5135040,11922065,22746888
1561035600,6568416,13704961,45074824
1561032000,6633864,16446094,34129896
1561028400,3592664,9580215,22496464
1561024800,1965216,7471279,26453816
1561021200,1911864,8436723,23362280
1561017600,1642832,2894883,9175312
1561014000,1396520,3348468,10802560
1561010400,1757440,3350037,8202384
1561006800,1846056,3059459,11714016
1561003200,2302544,4740321,14255224
1560999600,4482672,13239306,25712760
1560996000,6035800,12366958,24168696
1560992400,4117264,12083170,27402872
1560988800,7243904,17206142,32344600
1560985200,11129440,33687710,78573928
1560981600,11815552,28385574,64874912
1560978000,27888968,47482448,78254416
1560974400,31603880,63432746,138232192
1560970800,94923016,146885073,206134712
1560967200,122336296,177827617,245654264
1560963600,159859200,198681572,237980624
1560960000,135275104,180781628,224394040
1560956400,107861496,142920211,189906056
1560952800,128373768,169883071,208820712
1560949200,130892592,175884599,233363376
1560945600,103850848,151217832,223276848
1560942000,54049216,102963610,165547896
1560938400,16228016,35984981,77819704
1560934800,2683992,15600524,43782496
1560931200,2033880,5778356,11665384
1560927600,1802648,3724765,14364504
1560924000,2026520,4122996,21041656
1560920400,2417520,4539411,18887048
1560916800,2259168,5784493,17024672
1560913200,1683600,2839975,6514104
1560909600,2666496,5562633,10405952
1560906000,4671272,7921282,20277840
1560902400,6259208,13010744,28551592
1560898800,16077144,107094720,240290888
1560895200,20976944,55099184,182871760
1560891600,33044104,63091593,137500104
1560888000,51136168,98338576,142025040
1560884400,85655008,184827905,245381912
1560880800,147752168,210128826,244940496
1560877200,165904464,226491293,246069352
1560873600,182682000,221241138,245313736
1560870000,120952184,163996872,222113728
1560866400,102914376,157776924,226842768
1560862800,122168944,187613348,239424752
1560859200,108944752,176495423,244484824
1560855600,50648320,135826251,233451392
1560852000,6467728,34188636,88628800
1560848400,422648,7388504,27301904
1560844800,193976,2292669,15997472
1560841200,212240,802630,2554968
1560837600,159376,1944511,12196744
